school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
南京工业大学,城乡规划,9844.0,11061.0,11102.0,10669.0,10935.0,10900.0,10669.0,583.6031756824724
南京工业大学,工程管理,10362.0,10362.0,10362.0,10362.0,10433.0,10389.0,10362.0,0.0
南京工业大学,法学,10917.0,11589.0,11600.0,11368.666666666666,11553.0,11498.0,11368.666666666666,319.40813320195144
南京工业大学,社会工作,10917.0,11589.0,13694.0,12066.666666666666,12824.0,12714.0,12066.666666666666,1182.9500787813868
南京工业大学,英语,10917.0,11589.0,13138.0,11881.333333333334,12507.0,12385.0,11881.333333333334,929.9836318750753
南京工业大学,德语,10917.0,11589.0,13694.0,12066.666666666666,12824.0,12714.0,12066.666666666666,1182.9500787813868
南京工业大学,建筑环境与能源应用工程,10917.0,11589.0,13694.0,12066.666666666666,12824.0,12714.0,12066.666666666666,1182.9500787813868
南京工业大学,风景园林,10917.0,11589.0,12100.0,11535.333333333334,11872.0,11812.0,11535.333333333334,484.44630478745756
南京工业大学,工业设计,10917.0,10917.0,10917.0,10917.0,10992.0,10933.0,10917.0,0.0
南京工业大学,人力资源管理,10917.0,10917.0,10917.0,10917.0,10992.0,10933.0,10917.0,0.0
南京工业大学,信息管理与信息系统,10917.0,10917.0,10917.0,10917.0,10992.0,10933.0,10917.0,0.0
南京工业大学,食品质量与安全,10917.0,10917.0,10917.0,10917.0,10992.0,10933.0,10917.0,0.0
南京工业大学,日语,11474.0,11589.0,13138.0,12067.0,12620.0,12510.0,12067.0,758.7652249982643
南京工业大学,国际经济与贸易,11474.0,11589.0,13694.0,12252.333333333334,12944.0,12850.0,12252.333333333334,1020.492800344792
南京工业大学,汉语国际教育,11474.0,11589.0,12621.0,11894.666666666666,12304.0,12220.0,11894.666666666666,515.7365822027969
南京工业大学,建筑电气与智能化,11474.0,11589.0,12621.0,11894.666666666666,12304.0,12220.0,11894.666666666666,515.7365822027969
南京工业大学,行政管理,11474.0,11474.0,11474.0,11474.0,11549.0,11486.0,11474.0,0.0
南京工业大学,工商管理,11474.0,11474.0,11474.0,11474.0,11549.0,11486.0,11474.0,0.0
南京工业大学,公共事业管理,11474.0,11474.0,11474.0,11474.0,11549.0,11486.0,11474.0,0.0
南京工业大学,市场营销,11474.0,11474.0,11474.0,11474.0,11549.0,11486.0,11474.0,0.0
大连理工大学,新闻传播学类,3050.0,3197.5,3345.0,3197.5,3247.0,3301.0,3197.5,120.43324568683958
大连理工大学,公共管理类,3280.0,3280.0,3280.0,3280.0,3269.0,3299.0,3280.0,0.0
大连理工大学,日语,3537.0,3441.0,3345.0,3441.0,3390.0,3404.0,3441.0,78.38367176906169
大连理工大学,哲学,3537.0,3629.0,3721.0,3629.0,3653.0,3695.0,3629.0,75.1176854453508
